RadioRA 2 Integration Report,,,,,,,
,,,,,,,
Device Room, Device Location, Device name, Model, INTEGRATION ID, Component, Component Number, Name
,,,,,,,
Equipment Room, Main Repeater 001, Enclosure Device 001, RR-MAIN-REP-WH,1,,,
, , , , , Button 1,1, 
, , , , , Button 2,2, 
, , , , , Button 3,3, 
, , , , , Button 4,4, 
, , , , , Button 5,5, 
, , , , , Button 6,6, 
, , , , , Button 7,7, 
, , , , , Button 8,8, 
, , , , , Button 9,9, 
, , , , , Button 10,10, 
, , , , , Button 11,11, 
, , , , , Button 12,12, 
, , , , , Button 13,13, 
, , , , , Button 14,14, 
, , , , , Button 15,15, 
, , , , , Button 16,16, 
, , , , , Button 17,17, 
, , , , , Button 18,18, 
, , , , , Button 19,19, 
, , , , , Button 20,20, 
, , , , , Button 21,21, 
, , , , , Button 22,22, 
, , , , , Button 23,23, 
, , , , , Button 24,24, 
, , , , , Button 25,25, 
, , , , , Button 26,26, 
, , , , , Button 27,27, 
, , , , , Button 28,28, 
, , , , , Button 29,29, 
, , , , , Button 30,30, 
, , , , , Button 31,31, 
, , , , , Button 32,32, 
, , , , , Button 33,33, 
, , , , , Button 34,34, 
, , , , , Button 35,35, 
, , , , , Button 36,36, 
, , , , , Button 37,37, 
, , , , , Button 38,38, 
, , , , , Button 39,39, 
, , , , , Button 40,40, 
, , , , , Button 41,41, 
, , , , , Button 42,42, 
, , , , , Button 43,43, 
, , , , , Button 44,44, 
, , , , , Button 45,45, 
, , , , , Button 46,46, 
, , , , , Button 47,47, 
, , , , , Button 48,48, 
, , , , , Button 49,49, 
, , , , , Button 50,50, 
, , , , , Button 51,51, 
, , , , , Button 52,52, 
, , , , , Button 53,53, 
, , , , , Button 54,54, 
, , , , , Button 55,55, 
, , , , , Button 56,56, 
, , , , , Button 57,57, 
, , , , , Button 58,58, 
, , , , , Button 59,59, 
, , , , , Button 60,60, 
, , , , , Button 61,61, 
, , , , , Button 62,62, 
, , , , , Button 63,63, 
, , , , , Button 64,64, 
, , , , , Button 65,65, 
, , , , , Button 66,66, 
, , , , , Button 67,67, 
, , , , , Button 68,68, 
, , , , , Button 69,69, 
, , , , , Button 70,70, 
, , , , , Button 71,71, 
, , , , , Button 72,72, 
, , , , , Button 73,73, 
, , , , , Button 74,74, 
, , , , , Button 75,75, 
, , , , , Button 76,76, 
, , , , , Button 77,77, Away Mode
, , , , , Button 78,78, Goodnight
, , , , , Button 79,79, Welcome
, , , , , Button 80,80, Away Scene
, , , , , Button 81,81, 
, , , , , Button 82,82, Away Mode
, , , , , Button 83,83, Goodnight
, , , , , Button 84,84, Welcome
, , , , , Button 85,85, Away Scene
, , , , , Button 86,86, 
, , , , , Button 87,87, Away Mode
, , , , , Button 88,88, Goodnight
, , , , , Button 89,89, Welcome
, , , , , Button 90,90, Away Scene
, , , , , Button 91,91, 
